Date,Call Volume,CCT,Service Level,Abandon Rate,client,source_sheet,Date_raw,day_of_week,day_name,month,month_name,day_of_month,week_of_year,quarter,quarter_label,is_weekend,is_monday,is_sunday,is_month_start,is_month_end,is_pay_period,dow_sin,dow_cos,month_sin,month_cos,hour,minute,hour_sin,hour_cos,interval_num,interval_sin,interval_cos,Call Volume_lag_1,Call Volume_lag_2,Call Volume_lag_7,Call Volume_lag_14,Call Volume_lag_21,Call Volume_lag_28,Call Volume_rollmean_3,Call Volume_rollstd_3,Call Volume_rollmin_3,Call Volume_rollmax_3,Call Volume_rollmean_7,Call Volume_rollstd_7,Call Volume_rollmin_7,Call Volume_rollmax_7,Call Volume_rollmean_14,Call Volume_rollstd_14,Call Volume_rollmin_14,Call Volume_rollmax_14,Call Volume_rollmean_30,Call Volume_rollstd_30,Call Volume_rollmin_30,Call Volume_rollmax_30,diff_lag7,pct_change_7,volatility_ratio,volume_x_service,volume_x_abandon,lag7_x_weekend,interval_x_dow,trend,trend_squared,outlier_column
2024-01-01,2147.0,302.45,0.9855,0.0037,A,A - Daily,01/01/24 Mon,0,Monday,1,January,1,1,1,Q1,0,1,0,1,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0.0,1.0,0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2115.8685,7.9439,,0,0,0,is_pay_period
2024-01-15,4046.0,326.06,0.966,0.0044,A,A - Daily,01/15/24 Mon,0,Monday,1,January,15,3,1,Q1,0,1,0,0,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0.0,1.0,0,0.0,1.0,1370.0,3337.0,6688.0,2147.0,,,3203.0,1769.808746729431,1370.0,4902.0,4660.571428571428,1770.4106733695858,1370.0,6688.0,4760.642857142857,2020.2502361052989,1370.0,7458.0,,,,,-2642.0,-0.39503588516746413,0.379869872289943,3908.4359999999997,17.802400000000002,0.0,0,14,196,is_pay_period
2024-02-01,6089.0,279.87,0.957,0.0055,A,A - Daily,02/01/24 Thu,3,Thursday,2,February,1,5,1,Q1,0,0,0,1,0,1,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,0.0,1.0,0,0.0,1.0,5687.0,5202.0,5276.0,5059.0,5408.0,6208.0,5429.333333333333,243.91870230330022,5202.0,5687.0,4492.571428571428,1521.9029597998745,1462.0,5687.0,4499.214285714285,1482.3140526047268,1327.0,5740.0,4732.266666666666,1627.9532089635477,1327.0,7458.0,813.0,0.15409401061410158,0.3387598803930018,5827.173,33.4895,0.0,0,31,961,is_pay_period
2024-02-15,4684.0,331.78,0.9121,0.008,A,A - Daily,02/15/24 Thu,3,Thursday,2,February,15,7,1,Q1,0,0,0,0,0,1,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,0.0,1.0,0,0.0,1.0,4746.0,4997.0,5131.0,6089.0,5276.0,5059.0,4894.666666666667,131.75861768146896,4746.0,4997.0,4148.428571428572,1423.4399480534064,1237.0,5131.0,4566.142857142857,1603.1281371667772,1237.0,6622.0,4578.2,1474.8964288593513,1237.0,6622.0,-447.0,-0.08711752095108166,0.343127505643233,4272.2764,37.472,0.0,0,45,2025,is_pay_period
2024-03-01,5476.0,324.84,0.9311,0.0087,A,A - Daily,03/01/24 Fri,4,Friday,3,March,1,9,1,Q1,0,0,0,1,0,1,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,0,0.0,1.0,0,0.0,1.0,4972.0,4523.0,4813.0,4776.0,4687.0,5955.0,4669.0,262.463330772128,4512.0,4972.0,4024.285714285714,1329.2869911203911,1399.0,4972.0,4045.5714285714284,1270.3271967541211,1348.0,4972.0,4364.5,1417.0525931397667,1237.0,6622.0,663.0,0.13775192187824642,0.3303162562244493,5098.7036,47.6412,0.0,0,60,3600,is_pay_period
2024-03-15,4285.0,328.52,0.9044,0.0074,A,A - Daily,03/15/24 Fri,4,Friday,3,March,15,11,1,Q1,0,0,0,0,0,1,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,0,0.0,1.0,0,0.0,1.0,4573.0,4587.0,4496.0,5476.0,4813.0,4776.0,4567.333333333333,23.02896726593841,4542.0,4587.0,3975.5714285714284,1425.6708195492688,1211.0,5459.0,4146.357142857143,1372.9326616431667,1211.0,5476.0,4137.233333333334,1263.1531614160656,1211.0,5476.0,-211.0,-0.04693060498220641,0.3586077737915441,3875.354,31.709,0.0,0,74,5476,is_pay_period
2024-04-01,5958.0,302.04,0.8677,0.0175,A,A - Daily,04/01/24 Mon,0,Monday,4,April,1,14,2,Q2,0,1,0,1,0,1,0.0,1.0,0.8660254037844387,-0.49999999999999983,0,0,0.0,1.0,0,0.0,1.0,594.0,3561.0,5533.0,5367.0,5459.0,5347.0,2918.3333333333335,2078.887763524846,594.0,4600.0,4058.5714285714284,1636.5077509891657,594.0,5533.0,4191.785714285715,1455.7060237123853,594.0,5533.0,4015.2,1406.9241432385707,594.0,5533.0,425.0,0.07681185613591181,0.4032226067203154,5169.7566,104.26500000000001,0.0,0,91,8281,is_pay_period
2024-04-15,5397.0,305.88,0.8656,0.0211,A,A - Daily,04/15/24 Mon,0,Monday,4,April,15,16,2,Q2,0,1,0,0,0,1,0.0,1.0,0.8660254037844387,-0.49999999999999983,0,0,0.0,1.0,0,0.0,1.0,1352.0,3094.0,4937.0,5958.0,5533.0,5367.0,2969.3333333333335,1558.7435110797846,1352.0,4462.0,4035.4285714285716,1344.759936090559,1352.0,4937.0,4388.357142857143,1494.259559737909,1352.0,5958.0,4167.833333333333,1497.0863905999342,594.0,5958.0,460.0,0.09317399230301802,0.3332384435228658,4671.6432,113.8767,0.0,0,105,11025,is_pay_period
2024-05-01,5549.0,263.46,0.976,0.0079,A,A - Daily,05/01/24 Wed,2,Wednesday,5,May,1,18,2,Q2,0,0,0,1,0,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0,0,0.0,1.0,0,0.0,1.0,4954.0,5088.0,4882.0,4768.0,4728.0,5702.0,3826.6666666666665,2069.7307393314077,1438.0,5088.0,4107.714285714285,1337.195287942354,1438.0,5088.0,4113.357142857143,1303.9239363813087,1429.0,5416.0,4303.166666666667,1352.7667710221176,1352.0,5958.0,667.0,0.13662433428922574,0.3255326916462572,5415.824,43.83710000000001,0.0,0,121,14641,is_pay_period
2024-05-15,4703.0,275.39,0.8135,0.045,A,A - Daily,05/15/24 Wed,2,Wednesday,5,May,15,20,2,Q2,0,0,0,0,0,1,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0,0,0.0,1.0,0,0.0,1.0,4903.0,4971.0,4977.0,5549.0,4882.0,4768.0,3668.6666666666665,2197.08086636185,1132.0,4971.0,4175.142857142857,1441.1281956128928,1132.0,4977.0,4413.571428571428,1393.278850784707,1132.0,5722.0,4314.933333333333,1304.4174002300742,1132.0,5722.0,-274.0,-0.05505324492666265,0.34516859540444295,3825.8905,211.635,0.0,0,135,18225,is_pay_period
